gene,mean_in_cluster,mean_out_cluster,mean_difference,t_stat,p_value
ENSG00000117399,5.67352454945442,3.627803957125663,2.0457205923287574,13.868244394623552,5.384871147609456e-37
ENSG00000175063,6.562432820657029,4.4750679113943095,2.0873649092627193,13.706333993654724,1.8380713782132992e-36
ENSG00000178999,4.743071150454347,2.8441710759633425,1.8989000744910047,13.009995977660365,2.3007599018825395e-33
ENSG00000100526,4.666902853643405,3.18474132094779,1.4821615326956152,12.10127607986415,1.7605347679522611e-29
ENSG00000101057,4.909282620325652,2.758579792186713,2.1507028281389395,12.075428222045128,1.7864009696365492e-29
ENSG00000157456,4.594683275165797,3.0013108025027075,1.5933724726630891,11.950007751681682,4.0927898834444824e-29
ENSG00000089685,4.597452563387609,2.8968748137279836,1.7005777496596255,11.858542493206206,1.0003135191159269e-28
ENSG00000115163,3.3805841390082607,1.649921223858677,1.7306629151495838,11.727762238353641,3.6668732027716696e-28
ENSG00000166851,4.426495948480436,2.9025958785116575,1.5239000699687781,11.319826804629677,1.3979189053016516e-26
ENSG00000093009,3.539901390790507,1.9331223204339776,1.6067790703565294,11.417201700151592,1.5408119286123986e-26
ENSG00000158402,1.9298458642755794,0.4761760914270442,1.453669772848535,11.257508232145977,2.4609948021075486e-26
ENSG00000167900,5.865848760254348,4.32619714874558,1.5396516115087682,11.270866082441534,3.1654048887704715e-26
ENSG00000134690,3.6236590353914493,2.194092760839552,1.429566274551897,11.09818945279894,1.0145531874340867e-25
ENSG00000088325,4.796484996311957,3.27836600256221,1.5181189937497468,10.984923499499615,2.7833614430074823e-25
ENSG00000142945,3.693420862099348,2.2083273456125663,1.4850935164867818,10.870147072697463,8.039208385024336e-25
ENSG00000138180,3.4150534537940582,1.7711073846567122,1.643946069137346,10.798800305753065,1.5179672396431754e-24
ENSG00000134982,1.1542235870755073,2.258055720736381,-1.1038321336608736,-10.905724233093213,1.9522267254094386e-24
ENSG00000134057,5.725167272176594,4.494845900717072,1.2303213714595218,10.80961745891429,2.0279588265566914e-24
ENSG00000121152,3.4447530094155794,2.0467323428080193,1.39802066660756,10.746885742650855,2.3428453814638732e-24
ENSG00000117650,3.487858687507754,1.8255164898266298,1.6623421976811241,10.703940376459762,3.3389438471537574e-24
