gene,mean_in_cluster,mean_out_cluster,mean_difference,t_stat,p_value
ENSG00000160551,1.4076917771108886,3.074876162450308,-1.6671843853394195,-14.061314977264487,1.896447828073884e-20
ENSG00000121774,4.9997792708791104,6.30475580803022,-1.3049765371511093,-14.402784447140764,1.7500432085479448e-19
ENSG00000103275,5.2664169069060005,6.539564460725715,-1.2731475538197143,-14.025324854581719,3.0589683652624786e-19
ENSG00000101868,0.5041082465897778,2.335075369378044,-1.830967122788266,-13.784466015164144,3.111069846005114e-19
ENSG00000010244,4.964003945278,6.288832244642418,-1.3248282993644178,-13.922075301973306,4.681288242617956e-19
ENSG00000131558,3.4688366745004444,4.645048597153187,-1.176211922652743,-13.562094114813677,5.523121881919872e-19
ENSG00000090989,2.371970403617111,3.955594103898726,-1.5836237002816151,-13.953449087557503,5.8697074140534625e-19
ENSG00000128989,3.7761870518073333,5.334573981829034,-1.5583869300217006,-13.326803135978988,6.925107974928069e-19
ENSG00000068796,1.0720791338913334,3.418833009161758,-2.3467538752704247,-13.434854472691766,1.2243335533865575e-18
ENSG00000175203,5.769112932194667,6.896344666718109,-1.1272317345234422,-13.275232363236716,1.2815078670355079e-18
ENSG00000108424,5.016741139018222,6.650962954553583,-1.6342218155353603,-13.670173538939332,1.3604615006767788e-18
ENSG00000020922,0.951668989928222,2.6509161437600874,-1.6992471538318654,-13.316840496331485,1.8535718665483534e-18
ENSG00000176915,3.4516343193262222,4.745138245993429,-1.2935039266672068,-13.161338705544763,1.9954391279575263e-18
ENSG00000101367,4.369566021311112,6.099167561641538,-1.7296015403304263,-13.738662650776,2.252757881677506e-18
ENSG00000074054,1.8353114356075553,3.5574493060602417,-1.7221378704526864,-13.101229608460214,2.450811780333967e-18
ENSG00000139350,0.9940591976533333,2.959565153451231,-1.9655059557978976,-13.18261961198103,4.370097699664031e-18
ENSG00000070367,2.0689880214844445,3.936427171024286,-1.8674391495398415,-12.93638060189384,5.260244155492721e-18
ENSG00000104738,2.946030225632222,5.06822953650699,-2.1221993108747674,-12.325280248238215,5.747968981583126e-18
ENSG00000151893,1.6101262007457775,2.9244769051593402,-1.3143507044135627,-12.693029948567021,6.804409245656048e-18
ENSG00000072864,1.8726931829653333,4.244283384932154,-2.3715902019668205,-12.806907057521611,7.307369520251941e-18
