tumor_sample,closest_fetal_profile,distance,stage,tissue
TCGA-AR-A0TQ-01,5 week post conception | hindbrain,0.6946482724977467,5 week post conception,hindbrain
TCGA-A2-A0CX-01,4 week post conception | ovary,0.67589015044543,4 week post conception,ovary
TCGA-MQ-A6BR-01,8 week post conception | testis,0.7603885975302987,8 week post conception,testis
TCGA-DU-A7T8-01,19 week post conception | forebrain,0.45300460576740753,19 week post conception,forebrain
TCGA-NC-A5HE-01,8 week post conception | liver,0.6481839716066267,8 week post conception,liver
TCGA-SP-A6QJ-01,16 week post conception | hindbrain,0.6198839582341216,16 week post conception,hindbrain
TCGA-D5-5539-01,19 week post conception | liver,0.6800164824201441,19 week post conception,liver
TCGA-XU-AAXZ-01,9 week post conception | liver,0.5502360229957242,9 week post conception,liver
TCGA-DB-A4XA-01,11 week post conception | hindbrain,0.4315121412304236,11 week post conception,hindbrain
TCGA-DD-A73B-01,19 week post conception | liver,0.6632716090649464,19 week post conception,liver
TCGA-HD-7917-01,5 week post conception | forebrain,0.5559825915505346,5 week post conception,forebrain
TCGA-CC-A7IJ-01,4 week post conception | kidney,0.7130597932217244,4 week post conception,kidney
TCGA-HZ-A8P1-01,neonate | kidney,0.7263109471458025,neonate,kidney
TCGA-B6-A0RQ-01,toddler | testis,0.549945446277516,toddler,testis
TCGA-EW-A6SB-01,10 week post conception | liver,0.5234977389839008,10 week post conception,liver
TCGA-DS-A7WI-01,8 week post conception | liver,0.5139638763937255,8 week post conception,liver
TCGA-ZF-AA4N-01,5 week post conception | forebrain,0.5897118383007305,5 week post conception,forebrain
TCGA-KS-A4I5-01,infant | testis,0.47043584657563065,infant,testis
TCGA-E8-A436-01,infant | testis,0.4704375781047998,infant,testis
TCGA-A2-A0EV-01,16 week post conception | kidney,0.7282806391318037,16 week post conception,kidney
TCGA-IQ-A61H-01,5 week post conception | forebrain,0.5865717240214443,5 week post conception,forebrain
TCGA-CN-4736-01,12 week post conception | heart,0.7809757296425076,12 week post conception,heart
TCGA-YL-A8HO-01,infant | testis,0.6455808855858362,infant,testis
TCGA-CC-A7IH-01,toddler | liver,0.7182306811613002,toddler,liver
TCGA-BP-5196-01,toddler | testis,0.6211880539684753,toddler,testis
TCGA-KO-8410-01,10 week post conception | hindbrain,0.6425716177419415,10 week post conception,hindbrain
TCGA-HT-8563-01,12 week post conception | hindbrain,0.5394997544177134,12 week post conception,hindbrain
