tumor_sample,closest_fetal_profile,distance,stage,tissue,cluster
TCGA-E9-A3HO-01,8 week post conception | liver,0.6634701785355883,8 week post conception,liver,0
TCGA-37-A5EL-01,8 week post conception | kidney,0.773311303527664,8 week post conception,kidney,2
TCGA-5X-AA5U-01,4 week post conception | testis,0.5511458287741076,4 week post conception,testis,2
TCGA-D8-A1XS-01,16 week post conception | kidney,0.5127080187975916,16 week post conception,kidney,2
TCGA-CZ-5465-01,19 week post conception | kidney,0.5423028545570331,19 week post conception,kidney,1
TCGA-CH-5767-01,13 week post conception | hindbrain,0.6679779634485626,13 week post conception,hindbrain,1
TCGA-ER-A19T-01,4 week post conception | hindbrain,0.6741592103168597,4 week post conception,hindbrain,2
TCGA-CN-4738-01,4 week post conception | heart,0.7668998622610675,4 week post conception,heart,2
TCGA-VB-A8QN-01,10 week post conception | liver,0.5236648127079182,10 week post conception,liver,0
TCGA-CK-4951-01,7 week post conception | liver,0.6179823890408616,7 week post conception,liver,2
TCGA-2Z-A9J3-01,toddler | kidney,0.7409516823305337,toddler,kidney,0
TCGA-RD-A7BS-01,school age child | kidney,0.5032957126746508,school age child,kidney,0
TCGA-AC-A23E-01,16 week post conception | kidney,0.5141954017569146,16 week post conception,kidney,2
TCGA-DX-A6YX-01,4 week post conception | hindbrain,0.6095986688444639,4 week post conception,hindbrain,2
TCGA-3A-A9IN-01,neonate | forebrain,0.57880707727277,neonate,forebrain,1
TCGA-2G-AAGV-01,19 week post conception | testis,0.6446130601588775,19 week post conception,testis,1
TCGA-CW-6097-01,16 week post conception | heart,0.5321718728941165,16 week post conception,heart,2
TCGA-CV-7263-01,5 week post conception | forebrain,0.7239051903468865,5 week post conception,forebrain,2
TCGA-G2-A2EJ-01,5 week post conception | forebrain,0.7003507666053779,5 week post conception,forebrain,2
TCGA-M8-A5N4-01,19 week post conception | testis,0.6466092689856044,19 week post conception,testis,0
TCGA-A6-5666-01,5 week post conception | forebrain,0.6070511806368644,5 week post conception,forebrain,0
